source	SSC no & ACC no	SSC yes & ACC no	SSC no & ACC yes	SSC yes & ACC yes	sum sp	rank
wikidata	15,02%	69,57%	9,76%	5,64%	35050064	1
wikipedia_en	30,22%	43,60%	16,58%	9,59%	9.732.893 	2 
wikipedia_nl	17,56%	52,59%	22,09%	7,76%	4475366	3
wikipedia_de	26,81%	40,00%	22,84%	10,35%	4.017.539 	4 
dnb	18,13%	41,65%	17,15%	23,07%	3.176.166 	5 
wikipedia_fr	29,03%	33,85%	27,32%	9,80%	2945530	6
wikipedia_sv	61,85%	15,46%	15,63%	7,06%	2322651	7
wikipedia_es	29,78%	23,85%	26,88%	19,49%	2278815	8
wikipedia_it	22,70%	20,58%	29,17%	27,55%	1.720.543 	9 
wikipedia_ru	22,71%	26,72%	25,76%	24,81%	1.485.705 	10 
wikipedia_pt	25,05%	20,84%	39,56%	14,55%	1412793	11
wikipedia_ja	21,95%	42,23%	22,60%	13,22%	1168613	12
wikipedia_pl	31,96%	16,43%	36,05%	15,56%	1.157.493 	13 
wikipedia_id	25,98%	42,06%	19,97%	11,99%	877521	14
wikipedia_uk	14,11%	29,25%	21,90%	34,74%	522639	15
kb	0,00%	31,43%	0,00%	68,57%	518.985 	16 
wikipedia_sr	14,60%	26,87%	41,43%	17,11%	510207	17
wikipedia_ko	16,01%	24,12%	41,70%	18,17%	414724	18
wikipedia_cs	26,47%	20,96%	33,70%	18,86%	371.551 	19 
wikipedia_bg	20,92%	17,49%	40,60%	20,99%	255.328 	20 
wikipedia_hu	18,60%	16,54%	40,48%	24,38%	248358	21
wikipedia_tr	19,53%	14,15%	40,43%	25,89%	235011	22
wikipedia_ca	7,50%	2,48%	14,74%	75,28%	150.326 	23 
wikipedia_gl	12,21%	39,56%	28,92%	19,30%	149801	24
wikipedia_ar	19,19%	22,58%	41,99%	16,25%	146145	25
musicbrainz	0,00%	50,66%	0,00%	49,34%	116.284 	26 
wikipedia_eu	7,89%	12,57%	70,34%	9,20%	109547	27
wikipedia_el	20,50%	17,78%	41,25%	20,47%	104.858 	28 
wikipedia_be	19,16%	14,22%	46,51%	20,11%	90.960 	29 
wikipedia_eo	8,86%	16,78%	48,45%	25,91%	75.356 	30 
wikipedia_lv	18,27%	18,10%	36,71%	26,91%	68099	31
wikipedia_mk	6,22%	16,07%	55,06%	22,65%	67907	32
wikipedia_hr	17,91%	18,83%	42,32%	20,94%	58803	33
wikipedia_sk	26,04%	7,75%	48,43%	17,78%	57061	34
wikipedia_sl	22,99%	28,55%	32,00%	16,46%	54668	35
wikipedia_vi	35,35%	35,72%	12,48%	16,45%	54508	36
wikipedia_hi	32,09%	8,33%	10,02%	49,56%	41396	37
wikipedia_ga	11,96%	5,19%	54,22%	28,63%	31246	38
wikipedia_bn	14,66%	24,21%	34,05%	27,08%	29.913 	39 
wikipedia_az	34,36%	20,66%	29,04%	15,93%	21.520 	40 
wikipedia_cy	10,30%	3,85%	37,30%	48,55%	2.000 	41 
wikipedia_ro	25,83%	29,56%	21,93%	22,68%	1742	42
wikipedia_hy	33,11%	22,44%	24,67%	19,78%	450	43
