Property	total	de	en	es	fr	it	nl	pl	pt	ru	sv	uk
http://dbpedia.org/ontology/populationTotal	77026	280	7025	5883	59	357	19899	11975	3649	14703	112	13084
http://dbpedia.org/ontology/nrhpReferenceNumber	59478	-	59478	-	-	-	-	-	-	-	-	-
http://dbpedia.org/ontology/postalCode	51209	2010	2756	8560	21234	4650	80	5114	305	6462	7	31
http://xmlns.com/foaf/0.1/name	43896	1920	28157	2868	792	3119	308	1008	4879	843	-	2
http://dbpedia.org/ontology/height	36067	827	28101	378	163	2216	294	2972	1115	1	-	-
http://dbpedia.org/ontology/synonym	35770	-	3606	5314	-	-	-	3424	-	-	23389	37
http://dbpedia.org/ontology/birthDate	34955	215	31976	3	1120	34	468	1094	1	40	4	-
http://dbpedia.org/ontology/birthPlace	34318	194	26136	1757	718	85	323	851	838	3197	214	5
http://dbpedia.org/ontology/Person/height	33745	705	26149	346	155	2203	278	2826	1083	-	-	-
http://dbpedia.org/ontology/personName	25249	-	6613	-	18581	-	-	-	-	-	-	55
http://dbpedia.org/ontology/genre	24317	314	11166	2124	3171	13	96	1505	2602	3232	94	-
http://dbpedia.org/ontology/gross	20924	-	16682	-	-	-	-	-	2423	1792	-	27
http://dbpedia.org/ontology/budget	20636	-	12766	2577	99	-	563	718	1961	700	313	939
http://dbpedia.org/ontology/binomialAuthority	20248	-	12777	2662	-	35	-	3804	970	-	-	-
http://dbpedia.org/ontology/numberOfStudents	18900	2131	14992	384	390	60	162	348	89	231	105	8
http://dbpedia.org/ontology/numberOfEmployees	18852	7411	6899	787	1356	-	360	561	427	1001	-	50
http://dbpedia.org/ontology/year	18012	177	56	970	16775	1	16	-	1	8	5	3
http://dbpedia.org/ontology/revenue	14936	5929	5431	213	850	-	1448	213	32	490	330	-
http://dbpedia.org/ontology/releaseDate	13831	659	9490	39	1609	1	398	955	10	653	8	9
http://dbpedia.org/ontology/elevation	12948	195	2063	14	33	7002	9	563	112	2919	37	1
